id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL
3,16.01.2007,0.015,1.52,25.2,13.08,8.3,0.031,113.76,0.12,41.12
3,22.02.2007,0.001,1.56,0,12.9,8.26,0.025,134.4,0.15,43.3
3,14.03.2007,0.012,3.53,0,14.25,7.04,0.032,64.03,0.005,40.41
3,12.04.2007,0.13,2.09,20.4,11.81,5.02,0.033,86.4,0.018,41.12
3,10.05.2007,0,2.86,20.4,10.63,1.85,0.024,80.2,0.018,39.7
3,15.06.2007,0,1.08,0,7.07,2.43,0.018,92.16,0.43,43.25
3,23.07.2007,0.06,0.8,10.4,9.01,1.72,0.012,78.7,0.36,49.86
3,21.08.2007,0,1.2,3.2,8.88,0.47,0.021,76.42,0.31,36.6
3,10.09.2007,0,1.19,7.2,8.61,0.84,0.011,45.44,0.19,36.62
3,04.10.2007,0.01,1.36,9.4,10.48,3.85,0.011,74.3,0.222,38.2
3,13.11.2007,0.125,1.89,0,12.09,5.47,0.059,70.6,0.26,38
3,03.12.2007,0.12,1.8,10,12.9,5.38,0.013,107.5,0.26,43.7
3,14.01.2008,0.002,2.34,21.9,12.96,8.95,0.024,71.7,0.345,49.3
3,01.02.2008,0.017,2.65,23.2,13.56,9.05,0.022,88.32,0.35,45.07
3,13.03.2008,0.019,3.82,22,12.18,5.46,0.017,89,0.013,46.5
3,10.04.2008,0.13,3.55,21.2,10.89,7.3,0.053,68.5,0.02,36.6
3,13.05.2008,0.04,1.26,8.4,10.2,3.13,0.028,89.8,0.12,35.5
3,04.06.2008,0.034,0.88,12,8.9,2.72,0.017,65.9,0.3,38.9
3,16.07.2008,0.05,1.09,8.1,8.21,0.95,0.019,84.5,0.26,49.6
3,13.08.2008,0.03,1.9,10.4,8.81,1,0.024,83,0.304,48
3,02.09.2008,0.7,1.7,26.4,8.88,2.22,0.038,60.8,0.676,35.5
3,02.10.2008,0.097,4.88,0,12.8,3.57,0.015,49.28,0.693,36.2
3,12.11.2008,0.114,0.83,8.4,11.8,3.34,0.018,56.32,0.514,42.2
3,10.12.2008,0.023,0.79,0,12.12,5.68,0.023,32.64,0.377,37.6
3,09.01.2009,0.114,1.78,18.4,13.29,5.59,0.018,103,0.249,60.9
3,03.02.2009,0.017,0.93,0.8,14.1,6.24,0.037,53.76,0.244,36.1
3,04.03.2009,0,2.11,18.8,13.6,6.68,0.017,68.16,0.123,39
3,06.04.2009,0,3.86,18,12.92,5.11,0.013,64.5,0.1,33.7
3,19.05.2009,0.1,0.99,7.2,8.42,6.54,0.023,62.7,0.22,41.9
3,04.06.2009,0,0.98,10.4,7.12,1.82,0.024,59.5,0.4,40.4
3,07.07.2009,0.135,0.76,39.6,7.55,1.88,0.018,52.5,0.586,39.2
3,10.08.2009,0.188,0.99,8.4,8.54,2.05,0.021,67.2,0.545,42.5
3,01.09.2009,0.026,2.91,8.8,8.99,0.83,0.02,46.1,0.414,38.6
3,01.10.2009,0.024,1.16,2,9.22,2.07,0.019,92.85,0.4,51.75
3,03.11.2009,0.021,0.72,11.2,11.5,5.56,0.038,51.2,0.383,45.4
3,02.12.2009,0.119,1.08,0,11.13,4.71,0.019,71.04,0.399,53.88
3,12.01.2010,0.151,1.02,16.8,13.24,4.74,0.036,69.12,0.42,46.2
3,10.02.2010,0.064,1.96,0,13.5,5.92,0.034,67.2,0.328,46.2
3,10.03.2010,0.095,1.21,46.8,13.7,6.88,0.037,70.4,0.158,46.89
3,07.04.2010,0.16,3.54,24.8,12.47,4.1,0.029,73.6,0.01,37.8
3,12.05.2010,0.27,2.51,6.4,7.6,2.26,0.08,80,0.127,41.9
3,02.06.2010,0.24,0.89,24,7.18,3.11,0.27,60.8,0.263,32.6
3,07.07.2010,0.053,0.44,7.2,7.57,4.16,0.034,62.72,0.606,35.5
3,09.08.2010,0.006,0.66,17.6,7.75,1.23,0.029,45.44,0.459,36.86
3,06.09.2010,0.082,1.87,25.6,8.56,2.56,0.019,44.8,0.346,36.16
3,05.10.2010,0.03,1.43,0.9,10.19,2.89,0.088,43.5,0.941,35.45
3,18.11.2010,0.018,1.31,2.8,9.76,3.59,0.024,62.1,0.203,41.83
3,07.12.2010,0,1.6,3.6,13.29,5.86,0.061,63.36,0.335,38.99
3,10.01.2011,0.086,1.05,44,13.81,6.65,0.049,62.72,0.35,41.12
3,09.02.2011,0.17,2.49,2.4,14.68,9.43,0.086,64.64,0.2,38.3
3,21.03.2011,0.17,6.16,25.2,16.14,9.28,0.065,78.1,0.017,42.54
3,05.04.2011,0.134,4.05,16,12.57,7.45,0.024,53.76,0.006,37.58
3,10.05.2011,0,2.91,24.4,10.19,3.43,0.03,77.44,0.082,41.12
3,06.06.2011,0.03,1.17,4.8,6,2.97,0.04,79.36,0.371,43.96
3,05.07.2011,0.022,1.05,6.8,7.07,3.82,0.029,78.7,0.41,38.99
3,02.08.2011,0.025,1.01,10,7.59,1.69,0.015,65.28,0.44,43.25
3,05.09.2011,0.061,1.34,4.4,8.26,3.29,0.034,64.64,0.32,49.63
3,12.10.2011,0.061,1.52,0.9,8.52,3.02,0.044,52.48,0.23,44.66
3,07.11.2011,0.115,2.34,9.2,12.7,4.54,0.014,55.04,0.13,42.54
3,06.12.2011,0.091,2.06,1.6,13.18,5.48,0.022,92.16,0.195,50.34
3,12.01.2012,0,2.01,0,13.56,7.95,0.024,87.36,0.18,46.09
3,09.02.2012,0.02,2.12,2.5,14.22,8.26,0.082,72.4,0.19,42.1
3,01.03.2012,0.028,1.64,10,14.76,9.57,0.054,75.5,0.2,48.2
3,09.04.2012,0.006,2.12,24.8,10.6,3.36,0.032,56.3,0.029,39.7
3,15.05.2012,0.061,2.05,8.8,7.46,3,0.13,59.5,0.38,41.12
3,05.06.2012,0.063,1.98,5.6,7.93,2.63,0.094,82,0.29,42.5
3,16.07.2012,0.084,1.44,9.8,6.93,0.33,0.024,78.1,0.62,44.66
3,06.08.2012,0.023,1.36,6.8,8,4.72,0.14,108.8,0.61,48.21
3,06.09.2012,0.066,1.94,2.8,8.61,2.6,0.005,80.64,0.31,47.3
3,08.10.2012,0.052,1.76,1.2,8.34,2.42,0.033,91.52,0.31,52.47
3,01.11.2012,0.11,1.27,8.9,10.19,4.41,0.039,67.84,0.44,49.6
3,06.12.2012,0.054,1.2,0,11.25,5.06,0.033,113.3,0.48,56.7
3,02.01.2013,0.11,1.38,0,14.49,8.43,0.026,104.9,0.43,53.9
3,07.02.2013,0.11,2.02,1.6,14.16,7.67,0.04,88.9,0.26,46.79
3,04.03.2013,0,5.98,50.8,14.56,3.17,0.069,85.12,0.01,48.21
3,04.04.2013,0.11,2.72,0,11.58,7.26,0.03,64,0.11,39.7
